user_id,age,gender,food_choice,berth_choice,opted_berth,opted_ss_concession,bedroll_choice
146650,27,M,V,WS,0,1,0
147140,36,F,,LB,0,0,0
147561,26,M,,NC,0,0,0
148573,34,M,,LB,0,0,0
149517,33,M,,WS,0,0,0
149820,51,M,,NC,0,1,0
151092,39,M,,UB,0,0,0
151985,27,M,,MB,0,1,0
153805,39,M,N,NC,0,0,0
155336,28,M,,NC,0,0,0
158266,29,M,N,NC,0,0,0
159658,21,M,,NC,0,1,0
161388,28,M,,LB,0,0,0
161936,61,F,,NC,0,1,0
162338,34,M,,LB,0,0,0
162773,43,M,V,WS,0,1,0
162928,50,M,,SL,0,0,0
164613,22,M,,NC,0,0,0
167603,38,M,,NC,0,0,0
168404,50,M,,LB,0,0,0
168423,45,M,,NC,0,0,0
170289,25,M,,SL,0,0,0
171546,28,M,,SL,0,0,0
172076,48,F,,LB,0,0,0
172469,33,M,,SL,0,0,0
172874,41,M,N,LB,0,1,0
173839,26,M,,UB,0,0,0
174906,30,M,,WS,0,0,0
177101,48,M,,SL,0,0,0
177468,56,M,,NC,0,0,0
178502,28,M,,SL,0,0,0
180199,26,M,,NC,0,0,0
180468,29,M,,LB,0,0,0
184418,46,M,,LB,0,0,0
185161,25,M,,LB,0,1,1
185617,52,M,,LB,0,0,0
187870,38,M,,WS,0,0,0
188038,35,F,,LB,0,0,0
188682,35,M,,LB,0,1,0
190251,64,M,,LB,0,1,0
192658,27,M,,LB,0,1,1
195028,39,M,V,NC,0,0,0
195958,31,M,,NC,0,1,0
199958,52,M,,NC,0,1,0
200858,32,M,,NC,0,1,-1
201305,43,M,,SL,0,0,0
201792,31,M,,LB,0,0,0
203142,65,M,,LB,0,1,0
210067,51,M,,LB,0,0,0
210123,43,M,,NC,0,0,0
210226,30,M,N,LB,0,1,0
213580,49,M,,LB,0,1,-1
214142,32,M,,LB,0,0,0
215048,27,M,,LB,0,0,0
215501,21,M,,LB,0,0,0
215800,29,M,,MB,0,0,0
217254,10,F,,NC,1,0,0
218316,38,M,,WS,0,0,0
220355,45,M,,WS,0,0,0
223903,50,M,,LB,0,0,0
224749,19,M,,NC,0,1,0
224916,24,M,,UB,0,1,0
225974,39,M,,NC,0,0,0
226205,35,M,,UB,0,0,0
229050,50,M,,NC,0,0,0
230808,27,M,,NC,0,0,0
232257,55,M,,LB,0,0,0
233140,27,F,,SU,0,0,0
233837,20,M,,UB,0,1,0
233865,38,M,N,LB,0,0,0
234413,25,M,,SU,0,1,0
234663,25,M,,LB,0,0,0
235636,27,M,,NC,0,1,0
236815,25,M,,SL,0,0,0
239503,26,M,V,UB,0,0,0
239808,21,M,,NC,0,0,0
241803,47,M,N,LB,0,0,0
242135,35,M,D,LB,0,1,0
242212,27,M,,WS,0,1,0
243025,42,M,,SL,0,0,0
244006,27,M,,LB,0,0,0
244714,29,M,,UB,0,0,0
245794,25,M,,WS,0,0,0
249864,46,M,,LB,0,0,0
